datetime,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,sub_metering_4
2006/12/16,1209.176,34.922,93552.53,5180.8,0,546,4926,14680.93332
2006/12/17,3390.46,226.006,345725.32,14398.6,2033,4187,13341,36946.66673
2006/12/18,2203.826,161.792,347373.64,9247.2,1063,2621,14018,19028.43328
2006/12/19,1666.194,150.942,348479.01,7094,839,7602,6197,13131.90004
2006/12/20,2225.748,160.998,348923.61,9313,0,2648,14063,20384.80001
2006/12/21,1723.288,144.434,347096.41,7266.4,1765,2692,10456,13808.4667
2006/12/22,2341.338,186.906,347305.75,9897,3151,350,11131,24390.30004
2006/12/23,4773.386,221.47,345795.95,20200.4,2669,425,14726,61736.43339
2006/12/24,2550.012,149.9,348029.91,11002.2,1703,5082,6891,28824.19997
2006/12/25,2743.12,240.28,350495.9,11450.2,6620,1962,5795,31341.66663
2006/12/26,3934.11,165.102,347940.63,16341,1086,2533,14979,46970.50007
2006/12/27,1528.76,178.902,351025,6505.2,0,314,6976,18189.3333
2006/12/28,2072.638,208.876,350306.4,8764.2,2207,4419,9176,18741.96661
2006/12/29,3174.392,196.394,346854.68,13350.8,1252,5162,11329,35163.53329
2006/12/30,2796.108,312.142,346377.15,11952.6,3072,7893,12516,23120.80005
2006/12/31,3494.196,150.852,345451.07,14687.4,0,347,6502,51387.6
2007/1/1,2749.004,148.166,345785.73,11400.4,0,352,5880,39584.73328
2007/1/2,1269.236,190.342,348399.04,5348.2,0,348,6562,14243.93335
2007/1/3,1014.054,196.728,350722.21,4340.2,0,344,4765,11791.90002
2007/1/4,3259.412,202.302,345240.43,13648.6,1051,7597,10896,34779.53329
2007/1/5,2713.364,173.154,346313.9,11354.6,1483,379,7602,35758.73338
2007/1/6,1508.378,192.188,345129.2,6543.2,1336,402,5678,17723.63334
2007/1/7,2447.62,246.074,346899.58,10487,1987,8177,12810,17819.66667
