OBJECTID,CNTYPT_,NAME,PYNAME,ADCODE93,POINT_X,POINT_Y
1,1.000000000000000,漠河县,Mohe Xian,232723,122.532330000000002,52.968872000000033
2,2.000000000000000,塔河县,Tahe Xian,232722,124.705800000000067,52.340332000000046
3,3.000000000000000,呼玛县,Huma Xian,232721,126.647220000000061,51.721256000000039
4,4.000000000000000,额尔古纳左旗,Ergun Zuoqi,152126,121.528890000000047,50.778202000000078
5,5.000000000000000,鄂伦春自治旗,Oroqen Zizhiqi,152127,123.712100000000078,50.584728000000041
6,6.000000000000000,额尔古纳右旗,Ergun Youqi,152125,120.186080000000061,50.256592000000069
7,7.000000000000000,黑河市,Heihe Shi,232601,127.483440000000087,50.241886000000079
8,8.000000000000000,满洲里市,Manzhouli Shi,152102,117.443640000000073,49.578434000000073
9,9.000000000000000,逊克县,Xunke Xian,232625,128.469420000000014,49.573723000000086
10,10.000000000000000,孙吴县,Sunwu Xian,232626,127.308210000000031,49.417625000000044
11,11.000000000000000,陈巴尔虎旗,Chen Barag Qi,152131,119.431350000000066,49.326984000000039
12,12.000000000000000,牙克石市,Yakeshi Shi,152104,120.728070000000002,49.282692000000054
13,14.000000000000000,嫩江县,Nenjiang Xian,232622,125.214070000000106,49.166050000000041
14,15.000000000000000,鄂温克族自治旗,Ewenkizu Zizhiqi,152128,119.739650000000097,49.135914000000071
15,16.000000000000000,嘉荫县,Jiayin Xian,230722,130.390460000000076,48.886162000000070
16,17.000000000000000,新巴尔虎右旗,Xin Barag Youqi,152129,116.822760000000017,48.657913000000065
17,18.000000000000000,五大连池市,Wudalianchi Shi,232603,126.136090000000081,48.648151000000041
18,19.000000000000000,德都县,Dedu Xian,232623,126.185870000000023,48.510941000000059
19,20.000000000000000,莫力达瓦达斡尔族自治旗,Morin Dawa Daurzu Zizhiqi,152123,124.500880000000052,48.472195000000056
20,21.000000000000000,讷河县,Nehe Xian,230222,124.877430000000004,48.470150000000046
21,22.000000000000000,抚远县,Fuyuan Xian,230833,134.279040000000009,48.366611000000034
22,23.000000000000000,北安市,Bei'an Shi,232602,126.503030000000081,48.242203000000075
23,24.000000000000000,新巴尔虎左旗,Xin Barag Zuoqi,152130,118.267140000000040,48.216030000000046
24,25.000000000000000,阿荣旗,Arong Qi,152122,123.467030000000022,48.119438000000059
25,26.000000000000000,哈巴河县,Habahe(Kaba) Xian,654324,86.419479000000081,48.059563000000082
26,27.000000000000000,克东县,Kedong Xian,230230,126.234150000000000,48.037834000000032
27,28.000000000000000,克山县,Keshan Xian,230229,125.864570000000072,48.032482000000073
28,29.000000000000000,扎兰屯市,Zalantun Shi,152103,122.733370000000036,48.010651000000053
29,31.000000000000000,甘南县,Gannan Xian,230225,123.495320000000106,47.913578000000086
30,32.000000000000000,依安县,Yi'an Xian,230223,125.302240000000097,47.886478000000068
31,35.000000000000000,富裕县,Fuyu Xian,230227,124.456440000000043,47.800655000000063
32,39.000000000000000,布尔津县,Burqin Xian,654321,86.861977000000081,47.705654000000038
33,40.000000000000000,同江市,Tongjiang Shi,230881,132.514850000000024,47.654018000000065
34,42.000000000000000,拜泉县,Baiquan Xian,230231,126.084560000000010,47.606743000000051
35,43.000000000000000,萝北县,Luobei Xian,230421,130.824890000000096,47.575756000000069
36,46.000000000000000,海伦市,Hailun Shi,232304,126.966160000000059,47.461086000000080
37,47.000000000000000,吉木乃县,Jeminay Xian,654326,85.878387000000032,47.440144000000032
38,51.000000000000000,龙江县,Longjiang Xian,230221,123.181690000000003,47.335445000000050
