FID,FIRST_NAME,Code,AREA,Pop_2009,Pop_2005,Pop_2000,Pop_1999,Pop_1995,Pop_1990,Pop_Birth_,Pop_Death_,GDP_2009,GDP_2008,GDP_2007,GDP_2006,GDP_2005,CPI_2009,CATEGORIES
0,北京,110000,16345560000.000000000000000,1755.000000000000000,1538.000000000000000,1382.000000000000000,1257.000000000000000,1251.000000000000000,1081.940700000000106,8.060000000000000,5.120000000000000,12153.030000000000655,11115.000000000000000,9846.809999999999491,8117.779999999999745,6969.520000000000437,22154.000000000000000,1.000000000000000
1,天津,120000,11660963000.000000000000000,1228.160000000000082,1043.000000000000000,1001.000000000000000,959.000000000000000,942.000000000000000,878.540200000000027,8.300000000000001,6.230000000000000,7521.850000000000364,6719.010000000000218,5252.760000000000218,4462.739999999999782,3905.639999999999873,15149.000000000000000,1.000000000000000
2,山西,140000,157271770000.000000000000000,3427.360000000000127,3355.000000000000000,3297.000000000000000,3204.000000000000000,3077.000000000000000,2875.901400000000194,10.869999999999999,6.120000000000000,7358.310000000000400,7315.399999999999636,6024.449999999999818,4878.609999999999673,4230.529999999999745,6854.000000000000000,1.000000000000000
3,辽宁,210000,145014900000.000000000000000,4319.000000000000000,4221.000000000000000,4238.000000000000000,4171.000000000000000,4092.000000000000000,3945.969700000000103,6.060000000000000,6.150000000000000,15212.489999999999782,13668.579999999999927,11164.299999999999272,9304.520000000000437,8047.260000000000218,10848.000000000000000,1.000000000000000
4,吉林,220000,191775640000.000000000000000,2739.550000000000182,2716.000000000000000,2728.000000000000000,2658.000000000000000,2592.000000000000000,2465.872100000000046,6.690000000000000,6.090000000000000,7278.750000000000000,6426.100000000000364,5284.689999999999600,4275.119999999999891,3620.269999999999982,8410.000000000000000,1.000000000000000
5,黑龙江,230000,449906210000.000000000000000,3826.000000000000000,3820.000000000000000,3689.000000000000000,3792.000000000000000,3701.000000000000000,3521.487299999999777,7.480000000000000,5.330000000000000,8587.000000000000000,8314.370000000000800,7104.000000000000000,6211.800000000000182,5513.699999999999818,7737.000000000000000,1.000000000000000
6,上海,310000,5255601700.000000000000000,1921.000000000000000,1778.000000000000000,1674.000000000000000,1474.000000000000000,1415.000000000000000,1334.189599999999928,8.640000000000001,7.050000000000000,15046.450000000000728,14069.860000000000582,12494.010000000000218,10572.239999999999782,9247.659999999999854,29572.000000000000000,2.000000000000000
7,江苏,320000,100320890000.000000000000000,7725.000000000000000,7475.000000000000000,7438.000000000000000,7213.000000000000000,7066.000000000000000,6705.651899999999841,9.550000000000001,6.560000000000000,34457.300000000002910,30981.979999999999563,26018.479999999999563,21742.049999999999272,18598.689999999998690,11993.000000000000000,2.000000000000000
8,浙江,330000,100943420000.000000000000000,5180.000000000000000,4898.000000000000000,4677.000000000000000,4475.000000000000000,4319.000000000000000,4144.592999999999847,10.220000000000001,6.750000000000000,22990.349999999998545,21462.689999999998690,18753.729999999999563,15718.469999999999345,13417.680000000000291,15790.000000000000000,2.000000000000000
9,安徽,340000,140951260000.000000000000000,6131.000000000000000,6120.000000000000000,5986.000000000000000,6237.000000000000000,6013.000000000000000,5618.081299999999828,13.070000000000000,6.410000000000000,10062.819999999999709,8851.659999999999854,7360.920000000000073,6112.500000000000000,5350.170000000000073,6829.000000000000000,2.000000000000000
10,福建,350000,122237100000.000000000000000,3627.000000000000000,3535.000000000000000,3471.000000000000000,3316.000000000000000,3237.000000000000000,3004.822400000000016,12.199999999999999,5.900000000000000,12236.530000000000655,10823.010000000000218,9248.530000000000655,7583.850000000000364,6554.689999999999600,10950.000000000000000,2.000000000000000
11,江西,360000,166776730000.000000000000000,4432.158099999999649,4311.000000000000000,4140.000000000000000,4231.000000000000000,4063.000000000000000,3771.028099999999995,13.869999999999999,7.280000000000000,7655.180000000000291,6971.050000000000182,5800.250000000000000,4820.529999999999745,4056.760000000000218,6229.000000000000000,2.000000000000000
12,山东,370000,154238420000.000000000000000,9470.299999999999272,9248.000000000000000,9079.000000000000000,8883.000000000000000,8705.000000000000000,8439.282699999999750,11.699999999999999,6.470000000000000,33896.650000000001455,30933.279999999998836,25776.909999999999854,21900.189999999998690,18366.869999999998981,10494.000000000000000,2.000000000000000
13,河南,410000,165069370000.000000000000000,9487.000000000000000,9380.000000000000000,9256.000000000000000,9387.000000000000000,9100.000000000000000,8550.953499999999622,11.449999999999999,6.280000000000000,19480.459999999999127,18018.529999999998836,15012.459999999999127,12362.790000000000873,10587.420000000000073,6607.000000000000000,2.000000000000000
14,湖北,420000,186518000000.000000000000000,5720.000000000000000,5710.000000000000000,6028.000000000000000,5938.000000000000000,5772.000000000000000,5396.921000000000276,9.480000000000000,6.910000000000000,12961.100000000000364,11328.889999999999418,9333.399999999999636,7617.470000000000255,6590.189999999999600,7791.000000000000000,3.000000000000000
15,湖南,430000,211819710000.000000000000000,6406.000000000000000,6326.000000000000000,6440.000000000000000,6532.000000000000000,6392.000000000000000,6065.975400000000263,13.050000000000001,7.150000000000000,13059.690000000000509,11555.000000000000000,9439.600000000000364,7688.670000000000073,6596.100000000000364,7929.000000000000000,3.000000000000000
16,广东,440000,176048820000.000000000000000,9638.000000000000000,9194.000000000000000,8642.000000000000000,7270.000000000000000,6868.000000000000000,6282.923600000000079,11.779999999999999,5.700000000000000,39482.559999999997672,36796.709999999999127,31777.009999999998399,26587.759999999998399,22557.369999999998981,15291.000000000000000,3.000000000000000
17,广西,450000,235149200000.000000000000000,4856.000000000000000,4660.000000000000000,4489.000000000000000,4713.000000000000000,4543.000000000000000,4224.576500000000124,14.170000000000000,6.530000000000000,7759.159999999999854,7021.000000000000000,5823.409999999999854,4746.159999999999854,3984.099999999999909,6893.000000000000000,3.000000000000000
18,海南,460000,33913115000.000000000000000,864.070000000000050,828.000000000000000,787.000000000000000,762.000000000000000,724.000000000000000,655.748199999999997,14.660000000000000,5.610000000000000,1654.210000000000036,1503.059999999999945,1254.170000000000073,1044.910000000000082,897.990000000000009,6695.000000000000000,3.000000000000000
19,重庆,500000,8412664.000000000000000,2859.000000000000000,2798.000000000000000,3090.000000000000000,3075.000000000000000,0.000000000000000,2886.000000000000000,9.900000000000000,0.000000000000000,6530.010000000000218,5793.659999999999854,4676.130000000000109,3907.230000000000018,3467.719999999999800,8308.000000000000000,3.000000000000000
20,四川,510000,563542750000.000000000000000,8185.000000000000000,8212.000000000000000,8329.000000000000000,8550.000000000000000,11325.000000000000000,7836.000000000000000,9.150000000000000,7.210000000000000,14151.280000000000655,12601.229999999999563,10562.389999999999418,8690.239999999999782,7385.100000000000364,6863.000000000000000,3.000000000000000
21,贵州,520000,175686390000.000000000000000,3798.000000000000000,3730.000000000000000,3525.000000000000000,3710.000000000000000,3508.000000000000000,3239.106600000000071,13.650000000000000,7.600000000000000,3912.679999999999836,3561.559999999999945,2884.110000000000127,2338.980000000000018,2005.420000000000073,5044.000000000000000,3.000000000000000
22,云南,530000,383733920000.000000000000000,4571.000000000000000,4450.000000000000000,4288.000000000000000,4192.000000000000000,3990.000000000000000,3697.260999999999967,12.529999999999999,8.029999999999999,6169.750000000000000,5692.119999999999891,4772.520000000000437,3988.139999999999873,3461.730000000000018,5926.000000000000000,4.000000000000000
23,西藏,540000,1205060000000.000000000000000,290.029999999999973,277.000000000000000,262.000000000000000,256.000000000000000,240.000000000000000,219.600999999999999,15.310000000000000,8.800000000000001,441.360000000000014,394.850000000000023,341.430000000000007,290.759999999999991,248.800000000000011,4060.000000000000000,4.000000000000000
24,陕西,610000,206038370000.000000000000000,3772.000000000000000,3720.000000000000000,3605.000000000000000,3618.000000000000000,3514.000000000000000,3288.240299999999934,10.240000000000000,6.570000000000000,8169.800000000000182,7314.579999999999927,5757.289999999999964,4743.609999999999673,3933.719999999999800,7069.000000000000000,4.000000000000000
