,Entry,Mass,Feature,Feature.1,feature,Feature.2
0,A0A584,"12,743",A0A584,A0A584,A0A584,A0A584
1,Q9BXU3,"45,583",Q9BXU3,Q9BXU3,Q9BXU3,Q9BXU3
2,Q6PKC3,"110,529",Q6PKC3,Q6PKC3,Q6PKC3,Q6PKC3
3,P42681,"61,258",P42681,P42681,P42681,P42681
4,P40222,"61,891",P40222,P40222,P40222,P40222
5,Q8N3L3,"76,519",Q8N3L3,Q8N3L3,Q8N3L3,Q8N3L3
6,Q86VQ3,"60,404",Q86VQ3,Q86VQ3,Q86VQ3,Q86VQ3
7,Q8NBS9,"47,629",Q8NBS9,Q8NBS9,Q8NBS9,Q8NBS9
8,O14530,"26,534",O14530,O14530,O14530,O14530
9,Q9BZA5,"14,632",Q9BZA5,Q9BZA5,Q9BZA5,Q9BZA5
10,O43396,"32,251",O43396,O43396,O43396,O43396
11,Q16563,"28,565",Q16563,Q16563,Q16563,Q16563
12,P04818,"35,716",P04818,P04818,P04818,P04818
13,Q9NV66,"83,702",Q9NV66,Q9NV66,Q9NV66,Q9NV66
14,P47897,"87,799",P47897,P47897,P47897,P47897
15,Q13432,"26,962",Q13432,Q13432,Q13432,Q13432
16,Q6QN14,"44,690",Q6QN14,Q6QN14,Q6QN14,Q6QN14
17,C9JLJ4,"59,694",C9JLJ4,C9JLJ4,C9JLJ4,C9JLJ4
18,D6RBQ6,"59,627",D6RBQ6,D6RBQ6,D6RBQ6,D6RBQ6
19,D6R9N7,"59,657",D6R9N7,D6R9N7,D6R9N7,D6R9N7
20,D6RCP7,"59,658",D6RCP7,D6RCP7,D6RCP7,D6RCP7
21,D6R901,"59,659",D6R901,D6R901,D6R901,D6R901
22,Q16560,"29,450",Q16560,Q16560,Q16560,Q16560
23,P26368,"53,501",P26368,P26368,P26368,P26368
24,P54136,"75,379",P54136,P54136,P54136,P54136
25,Q8IWF7,"8,761",Q8IWF7,Q8IWF7,Q8IWF7,Q8IWF7
26,H0YL09,"14,853",H0YL09,H0YL09,H0YL09,H0YL09
27,A1L167,"18,338",A1L167,A1L167,A1L167,A1L167
28,Q9BZF9,"162,505",Q9BZF9,Q9BZF9,Q9BZF9,Q9BZF9
29,P62837,"16,735",P62837,P62837,P62837,P62837
30,P61077,"16,687",P61077,P61077,P61077,P61077
31,P51965,"21,404",P51965,P51965,P51965,P51965
32,P62253,"19,509",P62253,P62253,P62253,P62253
33,P68036,"17,862",P68036,P68036,P68036,P68036
34,Q712K3,"27,166",Q712K3,Q712K3,Q712K3,Q712K3
35,F5GYI3,"40,592",F5GYI3,F5GYI3,F5GYI3,F5GYI3
36,Q9BSL1,"45,338",Q9BSL1,Q9BSL1,Q9BSL1,Q9BSL1
37,Q9NZ09,"55,084",Q9NZ09,Q9NZ09,Q9NZ09,Q9NZ09
38,Q5T6F2,"117,116",Q5T6F2,Q5T6F2,Q5T6F2,Q5T6F2
39,P49591,"58,777",P49591,P49591,P49591,P49591
40,P49459,"17,315",P49459,P49459,P49459,P49459
41,P63146,"17,312",P63146,P63146,P63146,P63146
42,P61088,"17,138",P61088,P61088,P61088,P61088
